metric_id,rank,sido,population,total_facilities,공공도서관,국립도서관,문예회관,문학관,문화의집,미술관,박물관,생활문화센터,지방문화원,지역문화재단,raw_value,pre_outlier_cleaned_value,score_100
culture_facility,1,제주특별자치도,663177.0,128,22,0,3,1,7,21,61,10,2,1,5181.0703125,5255.076141151685,100.0
culture_facility,2,강원특별자치도,1506843.0,267,69,0,23,1,3,19,97,20,18,17,5643.606741573034,5643.606741573034,97.80999500786152
culture_facility,3,전라남도,1775126.0,251,77,0,21,8,1,41,66,8,22,7,7072.215139442231,7072.215139442231,89.75745160522719
culture_facility,4,전북특별자치도,1720812.0,198,67,0,17,7,2,21,45,17,14,8,8690.969696969696,8690.969696969696,80.63312379632993
culture_facility,5,충청남도,2136826.0,212,65,0,18,11,3,11,65,15,16,8,10079.367924528302,10079.367924528302,72.80723042748812
culture_facility,6,경상북도,2499357.0,241,74,0,27,3,4,12,74,12,22,13,10370.775933609959,10370.775933609959,71.16466998579867
culture_facility,7,충청북도,1597976.0,152,56,0,13,1,5,12,41,8,11,5,10513.0,10513.0,70.36300490444177
culture_facility,8,세종특별자치시,391072.0,30,16,0,2,0,0,0,6,4,1,1,13035.733333333334,13035.733333333334,56.14327912777791
culture_facility,9,경상남도,3198787.0,244,79,0,22,7,4,10,76,15,20,11,13109.782786885246,13109.782786885246,55.72588942213324
culture_facility,10,광주광역시,1387619.0,92,30,0,9,1,3,14,13,15,5,2,15082.815217391304,15082.815217391304,44.60462672680513
culture_facility,11,서울특별시,9304400.0,499,212,3,29,0,4,46,138,19,25,23,18646.09218436874,18646.09218436874,24.519736791263668
culture_facility,12,대구광역시,2350042.0,115,49,0,12,0,0,6,18,13,9,8,20435.147826086955,20435.147826086955,14.435484013419625
culture_facility,13,경기도,13745673.0,658,323,1,50,2,6,59,133,29,31,24,20890.080547112462,20890.080547112462,11.87119453647098
culture_facility,14,울산광역시,1088672.0,52,21,0,6,0,0,1,10,6,5,3,20936.0,20936.0,11.612363363454207
culture_facility,15,부산광역시,3237227.0,152,56,0,12,3,0,9,33,20,16,3,21297.54605263158,21297.54605263158,9.574460404736271
culture_facility,16,대전광역시,1441779.0,65,26,0,5,1,3,5,16,2,5,2,22181.215384615385,22181.215384615385,4.593539348980286
culture_facility,17,인천광역시,3055983.0,132,54,0,12,1,0,7,31,11,10,6,23151.386363636364,22996.159006993006,0.0
